event_number,wheel_width_sample,sensor_sampling_rate,bad_events,bad_events_dirtyAX,bad_events_raining,good_events,min_widths_wheel_Ax0,max_widths_wheel_Ax0,min_widths_wheel_Ax1,max_widths_wheel_Ax1,widths_wheel,event_type,sensors_durability,Ax0_situation_dict,Ax1_situation_dict,output_layer_situation_dict,event_tag,bridge_name,date_time,gross_vehicle_weight,confident,velocity,lane,vehicle_type,axle_weight,axle_spacing,overweight,overweight_amount,esal,lpr_number,axle_count,gvw_strain_are,direction,type_weight_limit
bad_events|20240910_165420_2,,486.6149215903691,0.0,1578.7760416666667,26.041666666666668,15.625,,,34.0,175.999251497006,"[34.999251497005986, 34.999251497005986, 34.0, 175.999251497006, 175.999251497006, 69.99850523168908, 69.99850523168908, 69.99775672869504]",bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165431_2,,396.5917893106119,0.0,315.7552083333333,162.76041666666666,3.90625,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165441_3,,464.6098003629764,0.0,1272.7864583333333,19.53125,29.296875,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165449_1,,565.2253909843606,0.0,11.393229166666666,161.1328125,19.53125,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165449_4,,506.3291139240506,0.0,1442.0572916666667,29.296875,11.71875,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165501_1,,459.60502692998205,0.0,524.0885416666666,238.28125,3.90625,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165515_3,,480.07501172058136,0.0,1829.4270833333333,16.276041666666668,15.625,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165517_1,,487.50297548202815,31.73828125,608.7239583333334,152.99479166666666,9.765625,,,,,[],bad_events,11.751773049645395,{'Bad_events': 100.0},{'Raining_events': 5.63},{'Durability_verylow': 5.63},,,,,,,,,,,,,,,,,,
bad_events|20240910_165535_1,,564.1873278236915,0.0,1132.8125,29.296875,13.671875,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165537_3,,569.1418408181414,0.0,39.0625,179.03645833333334,7.8125,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165545_1,,494.36755712906336,0.0,1018.06640625,31.25,17.578125,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165558_2,,458.4390389494106,0.0,12.20703125,234.375,17.578125,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165558_3,,458.4390389494106,0.0,1987.3046875,26.041666666666668,17.08984375,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165603_3,,435.5593364525734,0.0,104.98046875,22.786458333333332,14.6484375,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165610_2,,320.166753517457,0.0,1728.515625,91.796875,13.671875,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165623_1,,344.5027587134975,0.0,585.9375,138.671875,5.859375,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_165644_4,,1609.0509113764929,0.0,810.546875,55.338541666666664,22.786458333333332,,,33.99850299401197,141.32549504950492,"[70.0, 70.0, 33.99850299401197, 69.99925149700599, 141.32549504950492, 34.649386675120695, 70.00074850299404, 70.00074850299404, 70.00149700598809, 34.00074850299404]",bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_200358_2,,876.4121876069839,0.0,1663.4114583333333,110.67708333333333,13.020833333333334,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_200405_2,,872.0459868000852,0.0,46.38671875,26.85546875,21.97265625,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_203337_2,,868.7168610816543,0.0,1643.06640625,117.1875,26.85546875,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_203419_2,,875.6627330254832,0.0,70.80078125,48.828125,19.53125,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_203419_4,,878.0278670953912,0.0,349.12109375,246.09375,7.8125,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_204119_2,,871.242200794101,0.0,78.125,27.34375,19.53125,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_213252_2,,876.3371844244757,0.0,91.14583333333333,312.5,9.765625,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_222113_2,,884.2832469775475,0.0,699.8697916666666,23.4375,11.71875,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240409_051835_3,,1025.0250250250251,,19.53125,384.765625,7.8125,,,41.905529114029605,73.8690571238476,"[42.868880141751106, 42.868880141751106, 41.905529114029605, 73.8690571238476]",bad_events_dirtyAX,30.226739245367316,"{'Dirty_events': 100.0, 'Raining_events': 0.78}","{'Raining_events': 100.0, 'Dirty_events': 0.01}","{'Durability_low': 100.0, 'Durability_mid': 0.78, 'Durability_verylow': 0.01}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240409_085745_4,54.13652115513767,1031.5648085963735,,163.57421875,34.1796875,25.390625,,,54.917434713365765,55.991087164047485,"[55.991087164047485, 54.917434713365765]",bad_events_dirtyAX,59.14516028046388,"{'Dirty_events': 100.0, 'Raining_events': 21.9}",{'Good_events': 100.0},"{'Durability_mid': 100.0, 'Durability_high': 21.9}",BANGKAPI_20240409_085745_4,BANGKAPI,2024-04-09 08:57:45,7.2,True,54.87804878048781,1,2,"[3.5, 3.7]",[5.034181491057707],False,0,0.0759686230236727,NONE,2,7.4,to-Seri-Thai,
bad_events_dirtyAX|20240430_094914_4,,1025.7095158597663,,19.53125,588.37890625,7.8125,115.93218385090816,169.94045801526727,65.93567961165036,69.94980129160467,"[115.93218385090816, 169.94045801526727, 65.93567961165036, 69.94980129160467]",bad_events_dirtyAX,29.497086283592882,"{'Dirty_events': 100.0, 'Raining_events': 6.65}","{'Raining_events': 99.97, 'Dirty_events': 19.82}","{'Durability_low': 99.97, 'Durability_verylow': 19.82, 'Durability_mid': 6.65}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240430_100021_4,,1025.3671562082777,,,53.7109375,26.85546875,31.9472873917407,156.94745491440176,67.93234949024827,73.63365907966363,"[88.97487453642847, 53.938233568075105, 62.96409278937733, 64.98024316109422, 41.95045769288487, 66.95121063931299, 33.95136401900493, 56.95865227669276, 53.9679900542601, 75.96109663005018, 49.95352515243917, 62.945649631692504, 156.94745491440176, 156.94745491440176, 31.9472873917407, 48.962624511264266, 33.96256139580919, 38.98014938702613, 36.961098957363674, 45.95113494422185, 33.952112301496754, 67.90337573385523, 45.835964912280815, 40.954119850187226, 138.94359975368025, 37.93539343740031, 87.92523103723533, 31.955401065744354, 35.95063109009061, 73.63365907966363, 70.97634566252464, 67.93234949024827]",bad_events_dirtyAX,25.705587731092596,{'Dirty_events': 100.0},"{'Raining_events': 98.5, 'Dirty_events': 38.6}","{'Durability_low': 98.5, 'Durability_verylow': 38.6}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240430_101902_4,,1025.3671562082777,,,595.703125,17.08984375,30.916970497024522,117.94154476088647,68.97310817069979,71.9849166654551,"[33.98368237010129, 43.92946691135808, 39.93749938964265, 39.93749938964265, 117.94154476088647, 30.916970497024522, 31.941982266726427, 56.97746636013244, 32.99923664122116, 36.95350965214038, 34.951851638817516, 34.987519500779854, 71.97078181818165, 71.9849166654551, 68.97310817069979]",bad_events_dirtyAX,41.99999999999996,"{'Dirty_events': 100.0, 'Raining_events': 41.16}",{'Raining_events': 14.83},"{'Durability_low': 14.83, 'Durability_mid': 14.83}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240430_110743_4,,1021.4463840399003,,,14.6484375,19.53125,192.9566102857632,192.9566102857632,69.9899290820008,71.92745641440456,"[192.9566102857632, 71.92745641440456, 70.94877886534255, 69.9899290820008]",bad_events_dirtyAX,63.909783966348755,"{'Dirty_events': 100.0, 'Raining_events': 60.28}",{'Good_events': 100.0},"{'Durability_mid': 100.0, 'Durability_high': 60.28}",,,,,,,,,,,,,,,,,,
